"GAME_ID","GAME_TYPE_ID","WEEK","TEAM_SHORT","OPPONENT","CREATED_DATE","CREATE_USER"
"1","1","1","SEA","GB","15/10/2018 7:04:20 AM -04:00","mortimer"
"2","1","1","ATL","NO","15/10/2018 7:04:20 AM -04:00","mortimer"
"3","1","1","MIA","NE","15/10/2018 7:04:20 AM -04:00","mortimer"
"4","1","1","PHI","JAC","15/10/2018 7:04:20 AM -04:00","mortimer"
"5","1","1","NYJ","OAK","15/10/2018 7:04:20 AM -04:00","mortimer"
"6","1","1","CHI","BUF","15/10/2018 7:04:20 AM -04:00","mortimer"
"7","1","1","KC ","TEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"8","1","1","PIT","CLE","15/10/2018 7:04:20 AM -04:00","mortimer"
"9","1","1","HOU","WAS","15/10/2018 7:04:20 AM -04:00","mortimer"
"10","1","1","BAL","CIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"11","1","1","STL","MIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"12","1","1","TB ","CAR","15/10/2018 7:04:20 AM -04:00","mortimer"
"13","1","1","DAL","SF","15/10/2018 7:04:20 AM -04:00","mortimer"
"14","1","1","DEN","IND","15/10/2018 7:04:20 AM -04:00","mortimer"
"15","1","1","DET","NYG","15/10/2018 7:04:20 AM -04:00","mortimer"
"16","1","1","ARI","SD","15/10/2018 7:04:20 AM -04:00","mortimer"
"17","1","2","BAL","PIT","15/10/2018 7:04:20 AM -04:00","mortimer"
"18","1","2","TEN","DAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"19","1","2","CAR","DET","15/10/2018 7:04:20 AM -04:00","mortimer"
"20","1","2","BUF","MIA","15/10/2018 7:04:20 AM -04:00","mortimer"
"21","1","2","MIN","NE","15/10/2018 7:04:20 AM -04:00","mortimer"
"22","1","2","CLE","NO","15/10/2018 7:04:20 AM -04:00","mortimer"
"23","1","2","CIN","ATL","15/10/2018 7:04:20 AM -04:00","mortimer"
"24","1","2","WAS","JAC","15/10/2018 7:04:20 AM -04:00","mortimer"
"25","1","2","NYG","ARI","15/10/2018 7:04:20 AM -04:00","mortimer"
"26","1","2","SD ","SEA","15/10/2018 7:04:20 AM -04:00","mortimer"
"27","1","2","TB ","STL","15/10/2018 7:04:20 AM -04:00","mortimer"
"28","1","2","OAK","HOU","15/10/2018 7:04:20 AM -04:00","mortimer"
"29","1","2","GB ","NYJ","15/10/2018 7:04:20 AM -04:00","mortimer"
"30","1","2","DEN","KC","15/10/2018 7:04:20 AM -04:00","mortimer"
"31","1","2","SF ","CHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"32","1","2","IND","PHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"33","1","3","ATL","TB","15/10/2018 7:04:20 AM -04:00","mortimer"
"34","1","3","DET","GB","15/10/2018 7:04:20 AM -04:00","mortimer"
"35","1","3","CIN","TEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"36","1","3","STL","DAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"37","1","3","PHI","WAS","15/10/2018 7:04:20 AM -04:00","mortimer"
"38","1","3","NE ","OAK","15/10/2018 7:04:20 AM -04:00","mortimer"
"39","1","3","NYG","HOU","15/10/2018 7:04:20 AM -04:00","mortimer"
"40","1","3","BUF","SD","15/10/2018 7:04:20 AM -04:00","mortimer"
"41","1","3","JAC","IND","15/10/2018 7:04:20 AM -04:00","mortimer"
"42","1","3","NO ","MIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"43","1","3","CLE","BAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"44","1","3","ARI","SF","15/10/2018 7:04:20 AM -04:00","mortimer"
"45","1","3","MIA","KC","15/10/2018 7:04:20 AM -04:00","mortimer"
"46","1","3","SEA","DEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"47","1","3","CAR","PIT","15/10/2018 7:04:20 AM -04:00","mortimer"
"48","1","3","NYJ","CHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"49","1","4","WAS","NYG","15/10/2018 7:04:20 AM -04:00","mortimer"
"50","1","4","HOU","BUF","15/10/2018 7:04:20 AM -04:00","mortimer"
"51","1","4","PIT","TB","15/10/2018 7:04:20 AM -04:00","mortimer"
"52","1","4","NYJ","DET","15/10/2018 7:04:20 AM -04:00","mortimer"
"53","1","4","IND","TEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"54","1","4","BAL","CAR","15/10/2018 7:04:20 AM -04:00","mortimer"
"55","1","4","CHI","GB","15/10/2018 7:04:20 AM -04:00","mortimer"
"56","1","4","OAK","MIA","15/10/2018 7:04:20 AM -04:00","mortimer"
"57","1","4","SD ","JAC","15/10/2018 7:04:20 AM -04:00","mortimer"
"58","1","4","MIN","ATL","15/10/2018 7:04:20 AM -04:00","mortimer"
"59","1","4","SF ","PHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"60","1","4","DAL","NO","15/10/2018 7:04:20 AM -04:00","mortimer"
"61","1","4","KC ","NE","15/10/2018 7:04:20 AM -04:00","mortimer"
"62","1","5","GB ","MIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"63","1","5","NYG","ATL","15/10/2018 7:04:20 AM -04:00","mortimer"
"64","1","5","IND","BAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"65","1","5","DAL","HOU","15/10/2018 7:04:20 AM -04:00","mortimer"
"66","1","5","PHI","STL","15/10/2018 7:04:20 AM -04:00","mortimer"
"67","1","5","TEN","CLE","15/10/2018 7:04:20 AM -04:00","mortimer"
"68","1","5","NO ","TB","15/10/2018 7:04:20 AM -04:00","mortimer"
"69","1","5","DET","BUF","15/10/2018 7:04:20 AM -04:00","mortimer"
"70","1","5","CAR","CHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"71","1","5","JAC","PIT","15/10/2018 7:04:20 AM -04:00","mortimer"
"72","1","5","DEN","ARI","15/10/2018 7:04:20 AM -04:00","mortimer"
"73","1","5","SF ","KC","15/10/2018 7:04:20 AM -04:00","mortimer"
"74","1","5","SD ","NYJ","15/10/2018 7:04:20 AM -04:00","mortimer"
"75","1","5","NE ","CIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"76","1","5","WAS","SEA","15/10/2018 7:04:20 AM -04:00","mortimer"
"77","1","6","HOU","IND","15/10/2018 7:04:20 AM -04:00","mortimer"
"78","1","6","CLE","PIT","15/10/2018 7:04:20 AM -04:00","mortimer"
"79","1","6","NYJ","DEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"80","1","6","MIN","DET","15/10/2018 7:04:20 AM -04:00","mortimer"
"81","1","6","MIA","GB","15/10/2018 7:04:20 AM -04:00","mortimer"
"82","1","6","TEN","JAC","15/10/2018 7:04:20 AM -04:00","mortimer"
"83","1","6","TB ","BAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"84","1","6","BUF","NE","15/10/2018 7:04:20 AM -04:00","mortimer"
"85","1","6","CIN","CAR","15/10/2018 7:04:20 AM -04:00","mortimer"
"86","1","6","OAK","SD","15/10/2018 7:04:20 AM -04:00","mortimer"
"87","1","6","SEA","DAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"88","1","6","ATL","CHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"89","1","6","ARI","WAS","15/10/2018 7:04:20 AM -04:00","mortimer"
"90","1","6","PHI","NYG","15/10/2018 7:04:20 AM -04:00","mortimer"
"91","1","6","STL","SF","15/10/2018 7:04:20 AM -04:00","mortimer"
"92","1","7","NE ","NYJ","15/10/2018 7:04:20 AM -04:00","mortimer"
"93","1","7","WAS","TEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"94","1","7","STL","SEA","15/10/2018 7:04:20 AM -04:00","mortimer"
"95","1","7","IND","CIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"96","1","7","CHI","MIA","15/10/2018 7:04:20 AM -04:00","mortimer"
"97","1","7","GB ","CAR","15/10/2018 7:04:20 AM -04:00","mortimer"
"98","1","7","JAC","CLE","15/10/2018 7:04:20 AM -04:00","mortimer"
"99","1","7","BAL","ATL","15/10/2018 7:04:20 AM -04:00","mortimer"
"100","1","7","BUF","MIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"101","1","7","DET","NO","15/10/2018 7:04:20 AM -04:00","mortimer"
"102","1","7","SD ","KC","15/10/2018 7:04:20 AM -04:00","mortimer"
"103","1","7","OAK","ARI","15/10/2018 7:04:20 AM -04:00","mortimer"
"104","1","7","DAL","NYG","15/10/2018 7:04:20 AM -04:00","mortimer"
"105","1","7","DEN","SF","15/10/2018 7:04:20 AM -04:00","mortimer"
"106","1","7","PIT","HOU","15/10/2018 7:04:20 AM -04:00","mortimer"
"107","1","8","DEN","SD","15/10/2018 7:04:20 AM -04:00","mortimer"
"108","1","8","ATL","DET","15/10/2018 7:04:20 AM -04:00","mortimer"
"109","1","8","CIN","BAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"110","1","8","NYJ","BUF","15/10/2018 7:04:20 AM -04:00","mortimer"
"111","1","8","CAR","SEA","15/10/2018 7:04:20 AM -04:00","mortimer"
"112","1","8","JAC","MIA","15/10/2018 7:04:20 AM -04:00","mortimer"
"113","1","8","TEN","HOU","15/10/2018 7:04:20 AM -04:00","mortimer"
"114","1","8","NE ","CHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"115","1","8","KC ","STL","15/10/2018 7:04:20 AM -04:00","mortimer"
"116","1","8","TB ","MIN","15/10/2018 7:04:20 AM -04:00","mortimer"
"117","1","8","ARI","PHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"118","1","8","CLE","OAK","15/10/2018 7:04:20 AM -04:00","mortimer"
"119","1","8","PIT","IND","15/10/2018 7:04:20 AM -04:00","mortimer"
"120","1","8","NO ","GB","15/10/2018 7:04:20 AM -04:00","mortimer"
"121","1","8","DAL","WAS","15/10/2018 7:04:20 AM -04:00","mortimer"
"122","1","9","CAR","NO","15/10/2018 7:04:20 AM -04:00","mortimer"
"123","1","9","MIA","SD","15/10/2018 7:04:20 AM -04:00","mortimer"
"124","1","9","DAL","ARI","15/10/2018 7:04:20 AM -04:00","mortimer"
"125","1","9","MIN","WAS","15/10/2018 7:04:20 AM -04:00","mortimer"
"126","1","9","HOU","PHI","15/10/2018 7:04:20 AM -04:00","mortimer"
"127","1","9","CIN","JAC","15/10/2018 7:04:20 AM -04:00","mortimer"
"128","1","9","CLE","TB","15/10/2018 7:04:20 AM -04:00","mortimer"
"129","1","9","KC ","NYJ","15/10/2018 7:04:20 AM -04:00","mortimer"
"130","1","9","SF ","STL","15/10/2018 7:04:20 AM -04:00","mortimer"
"131","1","9","NE ","DEN","15/10/2018 7:04:20 AM -04:00","mortimer"
"132","1","9","SEA","OAK","15/10/2018 7:04:20 AM -04:00","mortimer"
"133","1","9","PIT","BAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"134","1","9","NYG","IND","15/10/2018 7:04:20 AM -04:00","mortimer"
"135","1","10","CIN","CLE","15/10/2018 7:04:20 AM -04:00","mortimer"
"136","1","10","BUF","KC","15/10/2018 7:04:20 AM -04:00","mortimer"
"137","1","10","JAC","DAL","15/10/2018 7:04:20 AM -04:00","mortimer"
"138","1","10","NYJ","PIT","15/10/2018 7:04:20 AM -04:00","mortimer"
