"ORDINAL_POSITION","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE"
"1","GAME_ID","int","","10","0","NO"
"2","TEAM_ID","int","","10","0","NO"
"3","TOTAL_FIRST_DOWNS","int","","10","0","YES"
"4","PASSING_FIRST_DOWNS","int","","10","0","YES"
"5","RUSHING_FIRST_DOWNS","int","","10","0","YES"
"6","PENALTY_FIRST_DOWNS","int","","10","0","YES"
"7","THIRD_DOWN_ATTEMPTS","int","","10","0","YES"
"8","THIRD_DOWN_CONVERSIONS","int","","10","0","YES"
"9","THIRD_DOWN_CONVERSION_PERC","decimal","","10","5","YES"
"10","THIRD_DOWN_PASSING_CONVERSIONS","int","","10","0","YES"
"11","THIRD_DOWN_RUSHING_CONVERSIONS","int","","10","0","YES"
"12","THIRD_DOWN_PENALTY_CONVERSIONS","int","","10","0","YES"
"13","FOURTH_DOWN_ATTEMPTS","int","","10","0","YES"
"14","FOURTH_DOWN_CONVERSIONS","int","","10","0","YES"
"15","FOURTH_DOWN_CONVERSION_PERC","decimal","","10","5","YES"
"16","FOURTH_DOWN_PASSING_CONVERSIONS","int","","10","0","YES"
"17","FOURTH_DOWN_RUSHING_CONVERSIONS","int","","10","0","YES"
"18","FOURTH_DOWN_PENALTY_CONVERSIONS","int","","10","0","YES"
"19","TOTAL_PLAYS","int","","10","0","YES"
"20","TOTAL_YARDS","int","","10","0","YES"
"21","YARDS_PER_PLAY","decimal","","10","5","YES"
"22","RUSHING_PLAYS","int","","10","0","YES"
"23","RUSHING_YARDS","int","","10","0","YES"
"24","RUSHING_YARDS_PER_PLAY","decimal","","10","5","YES"
"25","PASSING_PLAYS","int","","10","0","YES"
"26","PASSING_COMPLETIONS","int","","10","0","YES"
"27","PASSING_YARDS_PER_PLAY","decimal","","10","5","YES"
"28","INTERCEPTIONS","int","","10","0","YES"
"29","SACKS","int","","10","0","YES"
"30","NET_PASSING_YARDS","int","","10","0","YES"
"31","GROSS_PASSING_YARDS","int","","10","0","YES"
"32","SACK_YARDS","int","","10","0","YES"
"33","TOTAL_RETURN_YARDS","int","","10","0","YES"
"34","PUNT_RETURNS","int","","10","0","YES"
"35","PUNT_RETURN_YARDS","int","","10","0","YES"
"36","KICK_OFF_RETURNS","int","","10","0","YES"
"37","KICK_OFF_RETURN_YARDS","int","","10","0","YES"
"38","INTERCEPTION_RETURNS","int","","10","0","YES"
"39","INTERCEPTION_RETURN_YARDS","int","","10","0","YES"
"40","KICK_OFFS","int","","10","0","YES"
"41","KICK_OFFS_IN_ENDZONE","int","","10","0","YES"
"42","TOUCHBACKS","int","","10","0","YES"
"43","PUNTS","int","","10","0","YES"
"44","AVERAGE_PUNT_YARDS","decimal","","10","5","YES"
"45","PUNTS_BLOCKED","int","","10","0","YES"
"46","AVERAGE_NET_PUNT_YARDS","decimal","","10","5","YES"
"47","PENALTIES","int","","10","0","YES"
"48","PENALTY_YARDS","int","","10","0","YES"
"49","FUMBLES","int","","10","0","YES"
"50","FUMBLES_LOST","int","","10","0","YES"
"51","TOTAL_TD","int","","10","0","YES"
"52","PASSING_TD","int","","10","0","YES"
"53","RUSHING_TD","int","","10","0","YES"
"54","INTERCEPTION_TD","int","","10","0","YES"
"55","FUMBLE_TD","int","","10","0","YES"
"56","PUNT_RETURN_TD","int","","10","0","YES"
"57","KICK_OFF_RETURN_TD","int","","10","0","YES"
"58","FIELD_GOAL_RETURN_TD","int","","10","0","YES"
"59","EXTRA_POINT_ATTEMPTS","int","","10","0","YES"
"60","EXTRA_POINTS_MADE","int","","10","0","YES"
"61","EXTRA_POINTS_BLOCKED","int","","10","0","YES"
"62","TWO_POINT_CONVERSION_ATTEMPTS","int","","10","0","YES"
"63","TWO_POINT_CONVERSIONS_MADE","int","","10","0","YES"
"64","FIELD_GOAL_ATTEMPTS","int","","10","0","YES"
"65","FIELD_GOALS_MADE","int","","10","0","YES"
"66","FIELD_GOALS_BLOCKED","int","","10","0","YES"
"67","REDZONE_VISITS","int","","10","0","YES"
"68","REDZONE_TD","int","","10","0","YES"
"69","REDZONE_EFFICIENCY","decimal","","10","5","YES"
"70","GOAL_TO_GO_ATTEMPTS","int","","10","0","YES"
"71","GOAL_TO_GO_TD","int","","10","0","YES"
"72","GOAL_TO_GO_EFFICIENCY","int","","10","0","YES"
"73","SAFETIES","int","","10","0","YES"
"74","TURNOVERS","int","","10","0","YES"
"75","POINTS_SCORED","int","","10","0","YES"
"76","TIME_OF_POSSESION","varchar","8","","","YES"
"77","WIN_LOSS","char","1","","","YES"
"78","CREATED_DATE","datetimeoffset","","","","YES"
"79","CREATE_USER","varchar","50","","","YES"
