"ORDINAL_POSITION","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE"
"1","WEEK","int","","10","0","YES"
"2","GAME_ID","int","","10","0","NO"
"3","TEAM_ID","int","","10","0","NO"
"4","LOCATION","varchar","50","","","YES"
"5","PLAYER_NAME","varchar","100","","","NO"
"6","FIELD_POSITION","char","3","","","YES"
"7","RUSHING_ATTEMPTS","int","","10","0","YES"
"8","RUSHING_YARDS","int","","10","0","YES"
"9","RUSHING_TD","int","","10","0","YES"
"10","RECEIVING_TARGETS","int","","10","0","YES"
"11","RECEPTIONS","int","","10","0","YES"
"12","RECEIVING_YARDS","int","","10","0","YES"
"13","RECEIVING_TD","int","","10","0","YES"
"14","TOTAL_TD","int","","10","0","YES"
"15","FUMBLES","int","","10","0","YES"
"16","PASS_ATTEMPTS","int","","10","0","YES"
"17","PASS_COMPLETIONS","int","","10","0","YES"
"18","PASSING_YARDS","int","","10","0","YES"
"19","PASSING_TD","int","","10","0","YES"
"20","INTERCEPTIONS","int","","10","0","YES"
